ID,ISDELETED,NAME,CURRENCYISOCODE,CREATEDDATE,CREATEDBYID,LASTMODIFIEDDATE,LASTMODIFIEDBYID,SYSTEMMODSTAMP,PROGRAMME__C,ORDER__C,PRODUCT__C,EXEMPTION_REASONS__C,EXEMPTIONS_ALLOWED__C,MODULE_NAME__C,NUMBER_OF_RESITS_ALLOWED__C
a3wb0000000gXvJAAU,FALSE,MOD-001936,GBP,1464684090000,005b0000000L061AAC,1464684090000,005b0000000L061AAC,1464684090000,a3zb0000000kYDWAA2,20,01tb0000005AB1XAAW,,FALSE,<a href=""/a3wb0000000gXvJ"" target=""_top"">Level 3 - Employment Law - Assignment 1</a>,3
a3wb0000000gXvOAAU,FALSE,MOD-001937,GBP,1464684098000,005b0000000L061AAC,1464684098000,005b0000000L061AAC,1464817266000,a3zb0000000kYDWAA2,30,01tb0000005AB1YAAW,,FALSE,<a href=""/a3wb0000000gXvO"" target=""_top"">Level 3 - Employment Law - Assignment 2</a>,3
a3wb0000000gXvdAAE,FALSE,MOD-001939,GBP,1464684603000,005b0000000L061AAC,1464684603000,005b0000000L061AAC,1464684603000,a3zb0000000kYDgAAM,20,01tb0000005AB1bAAG,,FALSE,<a href=""/a3wb0000000gXvd"" target=""_top"">Level 3 - Family Law - Assignment 1</a>,3
a3wb0000000gXviAAE,FALSE,MOD-001940,GBP,1464684610000,005b0000000L061AAC,1464684610000,005b0000000L061AAC,1464684610000,a3zb0000000kYDgAAM,30,01tb0000005AB1cAAG,,FALSE,<a href=""/a3wb0000000gXvi"" target=""_top"">Level 3 - Family Law - Assignment 2</a>,3
a3wb0000000gXvsAAE,FALSE,MOD-001941,GBP,1464685322000,005b0000000L061AAC,1464685322000,005b0000000L061AAC,1464685322000,a3zb0000000kYDvAAM,10,01tb0000005AB1WAAW,,FALSE,<a href=""/a3wb0000000gXvs"" target=""_top"">Level 3 - Debt Recovery - Registration</a>,3
a3wb0000000gXvxAAE,FALSE,MOD-001942,GBP,1464685328000,005b0000000L061AAC,1464685328000,005b0000000L061AAC,1464685328000,a3zb0000000kYDvAAM,20,01tb0000005AB1UAAW,,FALSE,<a href=""/a3wb0000000gXvx"" target=""_top"">Level 3 - Debt Recovery - Assignment 1</a>,3
a3wb0000000gXw2AAE,FALSE,MOD-001943,GBP,1464685335000,005b0000000L061AAC,1464685335000,005b0000000L061AAC,1464817266000,a3zb0000000kYDvAAM,30,01tb0000005AB1VAAW,,FALSE,<a href=""/a3wb0000000gXw2"" target=""_top"">Level 3 - Debt Recovery - Assignment 2</a>,3
a3wb0000000gzOPAAY,FALSE,MOD-002111,GBP,1470818808000,005b0000000L061AAC,1470818808000,005b0000000L061AAC,1470818808000,a3zb0000000guiPAAQ,15,01tb0000006RexzAAC,,FALSE,<a href=""/a3wb0000000gzOP"" target=""_top"">STEP Certificate in Anti Money Laundering - Registration</a>,3
a3wb0000000gzOUAAY,FALSE,MOD-002112,GBP,1470818913000,005b0000000L061AAC,1470818913000,005b0000000L061AAC,1470818913000,a3zb0000000guiPAAQ,25,01tb0000006ReyAAAS,,FALSE,<a href=""/a3wb0000000gzOU"" target=""_top"">STEP Certificate in Anti Money Laundering - Assignment One</a>,3
a3wb0000000gzOeAAI,FALSE,MOD-002113,GBP,1470819136000,005b0000000L061AAC,1470819136000,005b0000000L061AAC,1470819136000,a3zb0000000guRtAAI,10,01tb0000006ReyKAAS,,FALSE,<a href=""/a3wb0000000gzOe"" target=""_top"">STEP Certificate in Anti Money Laundering - Registration</a>,3
a3wb0000000gzOoAAI,FALSE,MOD-002114,GBP,1470819238000,005b0000000L061AAC,1470819238000,005b0000000L061AAC,1470819238000,a3zb0000000guRtAAI,35,01tb0000006ReyZAAS,,FALSE,<a href=""/a3wb0000000gzOo"" target=""_top"">STEP Certificate in Anti Money Laundering - Assignment One</a>,3
a3wb0000000gzOtAAI,FALSE,MOD-002115,GBP,1470819942000,005b0000000L061AAC,1470819942000,005b0000000L061AAC,1504906213000,a3zb0000000kZSaAAM,10,01tb0000005ACtZAAW,,FALSE,<a href=""/a3wb0000000gzOt"" target=""_top"">ICA Advanced Certificate in Business Compliance Online - Registration</a>,3
a3wb0000000gzOyAAI,FALSE,MOD-002116,GBP,1470819967000,005b0000000L061AAC,1470819967000,005b0000000L061AAC,1470819967000,a3zb0000000kZSaAAM,40,01tb0000006ReytAAC,,FALSE,<a href=""/a3wb0000000gzOy"" target=""_top"">ICA Advanced Certificate in Business Compliance - Virtual Classroom 2</a>,3
a3wb0000000gzP3AAI,FALSE,MOD-002117,GBP,1470819996000,005b0000000L061AAC,1470819996000,005b0000000L061AAC,1470819996000,a3zb0000000kZSaAAM,20,01tb0000006ReyoAAC,,FALSE,<a href=""/a3wb0000000gzP3"" target=""_top"">ICA Advanced Certificate in Business Compliance - Virtual Classroom 1</a>,3
a3wb0000000gzPDAAY,FALSE,MOD-002119,GBP,1470820016000,005b0000000L061AAC,1470820016000,005b0000000L061AAC,1470820016000,a3zb0000000kZSaAAM,50,01tb0000005ABgaAAG,,FALSE,<a href=""/a3wb0000000gzPD"" target=""_top"">ICA Advanced Certificate in Business Compliance - Exam</a>,3
a3wb0000000gzQVAAY,FALSE,MOD-002120,GBP,1471250995000,005b0000000L061AAC,1471250995000,005b0000000L061AAC,1522854609000,a3zb0000000kabsAAA,10,01tb0000004NhqJAAS,,FALSE,<a href=""/a3wb0000000gzQV"" target=""_top"">ICA Specialist Certificate in Money Laundering in Correspondent Banking - Reg</a>,3
a3wb0000000gzQaAAI,FALSE,MOD-002121,GBP,1471251423000,005b0000000L061AAC,1471251423000,005b0000000L061AAC,1522854609000,a3zb0000000kabxAAA,10,01tb0000004NhqJAAS,,FALSE,<a href=""/a3wb0000000gzQa"" target=""_top"">ICA Specialist Certificate in Money Laundering in Correspondent Banking - Reg</a>,3
a3wb0000000gzQuAAI,FALSE,MOD-002122,GBP,1471275249000,005b0000000L061AAC,1471275249000,005b0000000L061AAC,1471275249000,a3zb0000000kai1AAA,10,01tb0000004N03vAAC,,FALSE,"<a href=""/a3wb0000000gzQu"" target=""_top"">ICA International Diploma in Governance, Risk and Compliance Online</a>",3
a3wb0000000gzQzAAI,FALSE,MOD-002123,GBP,1471275258000,005b0000000L061AAC,1476783400000,005b0000000L061AAC,1476995744000,a3zb0000000kai1AAA,20,01tb0000006R4ceAAC,,FALSE,<a href=""/a3wb0000000gzQz"" target=""_top"">ICA Intl Diploma in Governance Risk &amp; Compliance Online - Virtual Classroom 1</a>,3
a3wb0000000gzR4AAI,FALSE,MOD-002124,GBP,1471275268000,005b0000000L061AAC,1476783446000,005b0000000L061AAC,1476995744000,a3zb0000000kai1AAA,30,01tb0000006R4cyAAC,,FALSE,<a href=""/a3wb0000000gzR4"" target=""_top"">ICA Intl Diploma in Governance Risk &amp; Compliance Online - Virtual Classroom 2</a>,3
a3wb0000000gzR9AAI,FALSE,MOD-002125,GBP,1471275286000,005b0000000L061AAC,1471275286000,005b0000000L061AAC,1471275286000,a3zb0000000kai1AAA,35,01tb0000004Nis5AAC,,FALSE,"<a href=""/a3wb0000000gzR9"" target=""_top"">ICA International Diploma in Governance, Risk and Compliance - Assignment One</a>",3
a3wb0000000gzREAAY,FALSE,MOD-002126,GBP,1471275294000,005b0000000L061AAC,1476783480000,005b0000000L061AAC,1476995744000,a3zb0000000kai1AAA,40,01tb0000006R4d3AAC,,FALSE,<a href=""/a3wb0000000gzRE"" target=""_top"">ICA Intl Diploma in Governance Risk &amp; Compliance Online - Virtual Classroom 3</a>,3
a3wb0000000gzRJAAY,FALSE,MOD-002127,GBP,1471275301000,005b0000000L061AAC,1476783507000,005b0000000L061AAC,1476995744000,a3zb0000000kai1AAA,45,01tb0000004NisAAAS,,FALSE,"<a href=""/a3wb0000000gzRJ"" target=""_top"">ICA Int&#39;l Diploma in Governance, Risk and Compliance - Assignment Two</a>",3
a3wb0000000gzROAAY,FALSE,MOD-002128,GBP,1471275310000,005b0000000L061AAC,1476783580000,005b0000000L061AAC,1476995744000,a3zb0000000kai1AAA,50,01tb0000006R4d8AAC,,FALSE,<a href=""/a3wb0000000gzRO"" target=""_top"">ICA Intl Diploma in Governance Risk &amp; Compliance Online - Virtual Classroom 4</a>,3
