ID,ISOCODE,STARTDATE,NEXTSTARTDATE,CONVERSIONRATE,CREATEDDATE,CREATEDBYID,LASTMODIFIEDDATE,LASTMODIFIEDBYID,SYSTEMMODSTAMP
04w0X000000kCglQAE,MYR,2018-01-01,2018-02-01,5.4675,1514890064000,005b0000000L061AAC,1514890064000,005b0000000L061AAC,1517485559000
04w0X000000kCgxQAE,USD,2018-02-01,2018-03-01,1.4221,1517485559000,005b0000000L061AAC,1517485559000,005b0000000L061AAC,1519903462000
04w0X000000kChBQAU,AUD,2018-04-01,2018-05-01,1.8291,1522918674000,005b0000000L061AAC,1522918674000,005b0000000L061AAC,1525168937000
04w0X000000kChKQAU,AED,2018-05-01,2018-06-01,5.05334,1525168936000,005b0000000L061AAC,1525168936000,005b0000000L061AAC,1527844671000
04w7Z0000008oYYQAY,AUD,2021-09-07,9999-12-31,1.2,1631007995000,0050X000008uaG0QAI,1631007995000,0050X000008uaG0QAI,1631007995000
04wb00000000ms4AAA,SGD,2014-02-01,2014-03-01,2.1007,1395391980000,005b0000000L061AAC,1395391980000,005b0000000L061AAC,1395392481000
04wb00000004h4vAAA,CHF,0000-12-30,2015-09-01,1.4751,1442777583000,005b0000000L061AAC,1442777583000,005b0000000L061AAC,1442777746000
04w0X000000DUzgQAG,CHF,2018-06-01,2018-07-01,1.3087,1527844671000,005b0000000L061AAC,1527844671000,005b0000000L061AAC,1530521704000
04w0X000000DV0cQAG,AED,2018-09-01,2018-10-01,4.75674,1535968736000,005b0000000L061AAC,1535968736000,005b0000000L061AAC,1538409075000
04w0X000000DV0dQAG,AUD,2018-09-01,2018-10-01,1.798,1535968736000,005b0000000L061AAC,1535968736000,005b0000000L061AAC,1538409075000
04w0X000000DV0fQAG,EUR,2018-09-01,2018-10-01,1.1169,1535968737000,005b0000000L061AAC,1535968737000,005b0000000L061AAC,1538409076000
04w0X000000DV10QAG,HKD,2018-10-01,2018-11-01,10.199,1538409076000,005b0000000L061AAC,1538409076000,005b0000000L061AAC,1541070116000
04w0X000000DV14QAG,USD,2018-10-01,2018-11-01,1.2994,1538409076000,005b0000000L061AAC,1538409076000,005b0000000L061AAC,1541070117000
04w0X000000DV1CQAW,SEK,2018-11-01,2018-12-01,11.6781,1541070116000,005b0000000L061AAC,1541070116000,005b0000000L061AAC,1543833636000
04w0X000000DV1EQAW,USD,2018-11-01,2018-12-01,1.2779,1541070117000,005b0000000L061AAC,1541070117000,005b0000000L061AAC,1543833637000
04w0X000000DV1KQAW,HKD,2018-12-01,2019-01-01,9.9857,1543833636000,005b0000000L061AAC,1543833636000,005b0000000L061AAC,1546422535000
04w0X000000DV1LQAW,MYR,2018-12-01,2019-01-01,5.3394,1543833636000,005b0000000L061AAC,1543833636000,005b0000000L061AAC,1546422535000
04w0X000000DV1MQAW,SEK,2018-12-01,2019-01-01,11.6118,1543833636000,005b0000000L061AAC,1543833636000,005b0000000L061AAC,1546422536000
04w0X000000DV1SQAW,CHF,2019-01-01,2019-02-01,1.2561,1546422535000,005b0000000L061AAC,1546422535000,005b0000000L061AAC,1549014675000
04w0X000000DV1TQAW,EUR,2019-01-01,2019-02-01,1.1149,1546422535000,005b0000000L061AAC,1546422535000,005b0000000L061AAC,1549014676000
04w0X000000DV1cQAG,CHF,2019-02-01,2019-03-01,1.3045,1549014675000,005b0000000L061AAC,1549014675000,005b0000000L061AAC,1551449900000
04w0X000000QfnBQAS,MYR,2019-03-01,2021-09-02,5.4084,1551449901000,005b0000000L061AAC,1551449901000,005b0000000L061AAC,1630593682000
04w0X000000QfnCQAS,SEK,2019-03-01,2021-09-02,12.2772,1551449901000,005b0000000L061AAC,1551449901000,005b0000000L061AAC,1630593682000
04w0X000000kCgnQAE,USD,2018-01-01,2018-02-01,1.351,1514890065000,005b0000000L061AAC,1514890065000,005b0000000L061AAC,1517485559000
04w0X000000kCgsQAE,CHF,2018-02-01,2018-03-01,1.3217,1517485559000,005b0000000L061AAC,1517485559000,005b0000000L061AAC,1519903462000
04w0X000000kCh0QAE,AED,2018-03-01,2018-04-01,5.08258,1519903461000,005b0000000L061AAC,1519903461000,005b0000000L061AAC,1522918674000
04w0X000000kCh2QAE,CHF,2018-03-01,2018-04-01,1.3022,1519903462000,005b0000000L061AAC,1519903462000,005b0000000L061AAC,1522918674000
04w0X000000kChCQAU,CHF,2018-04-01,2018-05-01,1.3438,1522918674000,005b0000000L061AAC,1522918674000,005b0000000L061AAC,1525168937000
04w0X000000kChDQAU,EUR,2018-04-01,2018-05-01,1.141,1522918674000,005b0000000L061AAC,1522918674000,005b0000000L061AAC,1525168937000
